Resume,Interests,Skills,Masters,UG_Specialization,Career_Path
"Cloud computing Python;SQL;Java Computer Applications Software Linux,Git MCA",Cloud computing,Python;SQL;Java,MCA,Computer Applications,Software Developer
"Technology Critical Thinking, Analytic Thinking, SQL, Programming, Work under Pressure, Logical Skills, Problem Solving skills Computer Science Engineering Computer Software Engineer Microsoft certification",Technology,"Critical Thinking, Analytic Thinking, SQL, Programming, Work under Pressure, Logical Skills, Problem Solving skills",,Computer Science Engineering,Data Scientist
Understand human behaviour People management;Communication skills Psychology  Resilience psychology,Understand human behaviour,People management;Communication skills,,Psychology,Clinical Psychologist
Sales/Marketing;Trading;Understand human behaviour;Home interior design Accounting Skills;Critical Thinking Commerce Relationships manager No,Sales/Marketing;Trading;Understand human behaviour;Home interior design,Accounting Skills;Critical Thinking,,Commerce,Sales & Marketing Executive
"Technology 
PLC Allen Bradley;PLC Ladder Logic;LabVIEW;Business Analysis;End-to-End ProjectManagement;Crossfunctional Team Leadership;Requirements Gathering;Lean Six Sigma;Lean six sigma blackbelt;Productivity Improvement Instrumentation Engineering Plant Instrumentation Engineer Extreme Productivity (Blinkist Summary)",Technology,"
PLC Allen Bradley;PLC Ladder Logic;LabVIEW;Business Analysis;End-to-End ProjectManagement;Crossfunctional Team Leadership;Requirements Gathering;Lean Six Sigma;Lean six sigma blackbelt;Productivity Improvement",,Instrumentation Engineering,Business Analyst
"Technology C,C++,HTML,Java Computer Science Engineering Network analyst C,C++,HTML,Java",Technology,"C,C++,HTML,Java",,Computer Science Engineering,Web Developer
"Research, Sales/Marketing Critical Thinking, Analytic Thinking, Communication Skills, Creativity Skills, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, Problem Solving skills, Observation Skills, Reading Commerce Student (Unemployed) No PGDM (Marketing)","Research, Sales/Marketing","Critical Thinking, Analytic Thinking, Communication Skills, Creativity Skills, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, Problem Solving skills, Observation Skills, Reading",PGDM (Marketing),Commerce,Sales & Marketing Executive
Technology NO Computer Science Engineering Software Engineer Trainee No,Technology,NO,,Computer Science Engineering,Software Developer
Technology Programming Language skills;Critical Thinking;Linux;Python;SQL;Java Computer Science Engineering senior software engineer Redhat certification,Technology,Programming Language skills;Critical Thinking;Linux;Python;SQL;Java,,Computer Science Engineering,Data Scientist
Research;Teaching;Technology;Understand human behaviour;Understand human body;Content Writing;Govt. Job;Service;Infrastructure Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Communication skills;Leadership;Editing;Problem Solving skills;Writing skills;Medical knowledge;HR;Good communication skills;Teaching Physics   No Studying in pg,Research;Teaching;Technology;Understand human behaviour;Understand human body;Content Writing;Govt. Job;Service;Infrastructure,Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Communication skills;Leadership;Editing;Problem Solving skills;Writing skills;Medical knowledge;HR;Good communication skills;Teaching,Studying in pg,Physics ,Content Writer
"Financial Analysis Accounting Skills, Analytic Thinking, Cost Accounting, Team work, Excel, Problem Solving skills, Writing, Tableau Accountancy Tele-caller Alteryx and Tableau Pursuing Certified Management Accountant of United States",Financial Analysis,"Accounting Skills, Analytic Thinking, Cost Accounting, Team work, Excel, Problem Solving skills, Writing, Tableau",Pursuing Certified Management Accountant of United States,Accountancy,Cost Management Accountant (CMA)
"Take risk for Profits, Technology, Entrepreneurship Analytic Thinking, Gathering Informing, Communication Skills, Team work, Presentation Skills, Problem Solving skills Automobile Engineering Data Engineer No","Take risk for Profits, Technology, Entrepreneurship","Analytic Thinking, Gathering Informing, Communication Skills, Team work, Presentation Skills, Problem Solving skills",,Automobile Engineering,Business Analyst
"Sales/Marketing;Trading;Understand human behaviour;Digital marketing;Market reserach;Agriculture, services;Construction Manegement Accounting Skills;Business Knowledge;Leadership;Problem Solving skills;Wealth Management Marketing   No Marketing","Sales/Marketing;Trading;Understand human behaviour;Digital marketing;Market reserach;Agriculture, services;Construction Manegement",Accounting Skills;Business Knowledge;Leadership;Problem Solving skills;Wealth Management,Marketing ,Marketing ,Sales & Marketing Executive
Data analytics Critical Thinking;Gathering Information;Presentation Skills;Python;SQL;Good communication skills Automation  Machine learning with python,Data analytics,Critical Thinking;Gathering Information;Presentation Skills;Python;SQL;Good communication skills,,Automation,Data Scientist
Technology Communication skills;Writing skills;C++;Python;SQL;Java;Cloud Computing Computer Applications  No Master of Computer Applications,Technology,Communication skills;Writing skills;C++;Python;SQL;Java;Cloud Computing,Master of Computer Applications,Computer Applications,Data Scientist
"Research;Technology;Data analytics;Govt. Job Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;SQL Science,Maths, Engineering subject Worked in Research Institute  ML,Tane the Python,Recommendation project based on Market Analysis ,second prize in Nation Level project competition",Research;Technology;Data analytics;Govt. Job,Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;SQL,,"Science,Maths, Engineering subject",Data Scientist
Financial Analysis;Research;Data analytics;Data scientist Programming Language skills;Critical Thinking;Gathering Information;Leadership;Machine Learning skills;Python;Artificial Intelligence;SQL;Java;MATLAB;Good communication skills Computer Science Engineering  No Data science and computational intelligence,Financial Analysis;Research;Data analytics;Data scientist,Programming Language skills;Critical Thinking;Gathering Information;Leadership;Machine Learning skills;Python;Artificial Intelligence;SQL;Java;MATLAB;Good communication skills,Data science and computational intelligence,Computer Science Engineering,Data Scientist
"Entrepreneurship Python, Critical Thinking, Analytic Thinking, Gathering Informing, SQL, Programming, Leadership, Product Knowledge, Cost Accounting, Market Study, Team work, Excel, Logical Skills, R, Problem Solving skills, Writing, Tableau Mechanical Engineering Teacher Google Data Analytics Course M.Tech in Metallury and Material Science",Entrepreneurship,"Python, Critical Thinking, Analytic Thinking, Gathering Informing, SQL, Programming, Leadership, Product Knowledge, Cost Accounting, Market Study, Team work, Excel, Logical Skills, R, Problem Solving skills, Writing, Tableau",M.Tech in Metallury and Material Science,Mechanical Engineering,Data Scientist
"Technology Matlab ;Embedded C; Arduino; C ++;c ;AVR;Eagle PCB;ARM Cortex-M;KiCAD;Software Project Management Electrical and Electronics Engineering Embedded System Engineer Control Systems;
Control of mobile robots;
Digital Signal Processing;
Electric Power Systems;
Electric machines;
Power Electronics",Technology,Matlab ;Embedded C; Arduino; C ++;c ;AVR;Eagle PCB;ARM Cortex-M;KiCAD;Software Project Management,,Electrical and Electronics Engineering,Electrical Engineer
